DESGLOSE DE PRESUPUESTO;;;;;TIPO DE CAMBIO:;610;;
N;DESCRIPCCION;CANTIDAD;UNIDAD;PRECIO UNITARIO;TOTAL (COLONES);TOTAL (DOLARES);;
FUNDACIONES;;;;;;;;
;PIEDRA;4,2;m3;?22.566,37;?94.395,13; $154,75 ;;
;FORMALETA;47;un;?6.272,12;?294.789,64; $483,26 ;;
MURO M-3;;14;ml;?212.220,29;; $3.699,07 ;;
;VARILLA #4 LONG;33;un;?5.400,00; ?178.200,00 ; $292,13 ;;
;VARILLA #3 TRANS;70;un;?3.175,00; ?222.250,00 ; $364,34 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;35;sacos;?6.769,91; ?236.946,85 ; $388,44 ;;
 5 m3 en total;ARENA;2,5;m3;?22.566,37; ?55.287,61 ; $90,64 ;;
;PIEDRA;4,5;m3;?22.566,37; ?100.420,35 ; $164,62 ;;
;FORMALETA;8;un;?6.272,12; ?50.176,96 ; $82,26 ;;
;TUBO DRENAFORT 7,7cm de diametro;4;tubos;?42.057,52; ?168.230,08 ; $275,79 ;;
;BLOCK DE MAMPOSTERIA DE 20X20X40;732;un;?796,46; ?583.008,72 ; $955,75 ;;
;VARILLA #4 VERT;19;un;?4.995,00; ?94.905,00 ; $155,58 ;;
;VARILLA #3 HOR;48;un;?3.175,00; ?152.400,00 ; $249,84 ;;
;SACO DE CEMENTO PARA PEGA BLOQUES;10;un;?6.000,00; ?60.000,00 ; $98,36 ;;
;ARENA PARA PEGA DE BLOQUES;1,5;m3;?18.141,59; ?27.212,39 ; $44,61 ;;
;CONCRETO DE RELLENO;6;m3;?3.960,18; ?23.761,08 ; $38,95 ;;
;VARILLAS #4 LONG VIGAS;16;un;?4.995,00; ?79.920,00 ; $131,02 ;;
;VARILLAS #3 TRANS VIGAS;12;un;?3.175,00; ?38.100,00 ; $62,46 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;8;sacos;?6.769,91; ?54.159,28 ; $88,79 ;;
 1.2 m3 en total;ARENA;0,6;m3;?22.566,37; ?13.269,03 ; $21,75 ;;
;PIEDRA;1,1;m3;?22.566,37; ?24.100,88 ; $39,51 ;;
;FORMALETA;15;un;?6.272,12; ?94.081,80 ; $154,23 ;;
MARCO DE ACERO PARA ASCENSOR;;7,5;ml;?233.000,00;; $3.316,39 ;;
;COLUMNA C7 TUBO 15X15X0,32;8;un;?91.000,00; ?728.000,00 ; $1.193,44 ;;
;V-1 TUBO 15 X10X0,24;5;un;?77.000,00; ?385.000,00 ; $631,15 ;;
;AR-2 TUBO 10X10X0,24;14;un;?65.000,00; ?910.000,00 ; $1.491,80 ; $3.316,39 ;
FOSA DE ELEVADOR;;1;gl;?74.472,65;; $1.600,52 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;32;sacos;?6.769,91; ?216.637,12 ; $355,14 ;;
 4,5 m3 en total;ARENA;2,2;m3;?22.566,37; ?49.758,85 ; $81,57 ;;
;PIEDRA;4;m3;?22.566,37; ?90.378,31 ; $148,16 ;;
;VARILLA #6;15;un;?14.400,00; ?216.000,00 ; $354,10 ;;
;VARILLA #4;56;un;?4.995,00; ?279.720,00 ; $458,56 ;;
;VARILLA #3;39;un;?3.175,00; ?123.825,00 ; $202,99 ;;
COLUMNAS 1ER NIVEL;;;;;;;;
COLUMNA TIPO C1;;4;;;?872.000,00;$1.429,51;;
;TUBO 20X20X0,95 CM;4;un;?218.000,00;?872.000,00;$1.429,51;;
;;;;;;;;
COLUMNA TIPO C2;;10;;;?1.936.500,00;$3.174,59;;
;TUBO 20X20X0,64 CM;10;un;?193.650,00;?1.936.500,00;$3.174,59;;
;;;;;;;;
ARRIOSTRE AR-1;;3;;;?739.200,00;$1.211,80;como se saca el resultado de las 3 si son 6 tubos ;
;TUBO 15X15X0,32 CM;6;un;?123.200,00;?739.200,00;$1.211,80;;
;;;;;;;;
COLUMNA TIPO C3;;10;;?66.344,77;;$1.949,64;;
CONCRETO DE 210 KG/CM2;CEMENTO;23;sacos;?6.769,91;?155.707,93;$255,26;;
3,3 m3 en total;ARENA;1,6;m3;?22.566,37;?36.489,82;$59,82;;
;PIEDRA;2,9;m3;?22.566,37;?66.277,43;$108,65;;
;FORMALETA;50;un;?6.272,12;?313.606,00;$514,11;;
;VARILLA #4 LONG;60;un;?4.995,00;?299.700,00;$491,31;;
;VARILLA #3 AROS Y GANCHOS @15CM;100;un;?3.175,00;?317.500,00;$520,49;;
COLUMNA TIPO C4;;4;;?87.005,96;;$346,15;;
CONCRETO DE 210 KG/CM2;CEMENTO;19;sacos;?6.769,91;?128.628,29;$210,87;;
2,65 m3 en total;ARENA;1,3;m3;?22.566,37;?29.302,43;$48,04;;
;PIEDRA;2,4;m3;?22.566,37;?53.222,78;$87,25;;
;FORMALETA;40;un;?6.272,12;?250.884,80;$411,29;;
;VARILLA #6 LONG;32;un;?25.656,19;?820.998,08;$755,41;;
;VARILLA #3 2 AROS @15CM;68;un;?3.175,00;?215.900,00;$353,93;;
COLUMNA TIPO C5;;3;;?66.749,77;;$517,04;;
CONCRETO DE 210 KG/CM2;CEMENTO;5;sacos;?6.769,91;?33.849,55;$55,49;;
0,75 m3 en total;ARENA;0,4;m3;?22.566,37;?8.293,14;$13,60;;
;PIEDRA;0,7;m3;?22.566,37;?15.063,05;$24,69;;
;FORMALETA;12;un;?6.272,12;?75.265,44;$123,39;;
;VARILLA #4 LONG;18;un;?5.400,00;?97.200,00;$159,34;;
;VARILLA #3 AROS Y GANCHOS @15CM;27;un;?3.175,00;?85.725,00;$140,53;;
COLUMNA TIPO C6;;2;;?71.274,78;;$837,36;;
CONCRETO  210KG/CM2;CEMENTO;9;sacos;?6.769,91;?60.929,19;$99,88;;
 1,25 m3 en total;ARENA;0,6;m3;?22.566,37;?13.821,90;$22,66;;
;PIEDRA;1,1;m3;?22.566,37;?25.105,09;$41,16;;
;FORMALETA;24;un;?6.272,12;?150.530,88;$246,77;;
;VARILLA #5;16;un;?9.925,01;?158.800,16;$260,33;;
;VARILLA #3 AROS Y GANCHOS @15cm;32;un;?3.175,00;?101.600,00;$166,56;;
COLUMNAS 2DO NIVEL;;;;;;;;
COLUMNA TIPO C1;;4;;;;$1.429,51;;
;TUBO 20X20X0,95 CM EN 6M;4;un;?218.000,00;?872.000,00;$1.429,51;;
;;;;;;;;
COLUMNA TIPO C2;;22;;;;$6.984,10;;
;TUBO 20X20X0,64 CM EN 6M;22;un;?193.650,00;?4.260.300,00;$6.984,10;;
;;;;;;;;
ARRIOSTRE AR-1;;3;;;;$1.211,80;;6 TUBOS PERO 3COLUMNAS 
;TUBO 15X15X0,32 CM EN 6M;6;un;?123.200,00;?739.200,00;$1.211,80;;
COLUMNAS AREA DE BODEGA Y GARAGE;;;;;;;;
COLUMNA TIPO C1;;4;;?68.602,65;;$338,37;;
CONCRETO DE RELLENO;CEMENTO;7;sacos;?6.769,91;?47.389,37;$77,69;;
1 m3 en total;ARENA;0,5;m3;?22.566,37;?11.057,52;$18,13;;
;PIEDRA;0,9;m3;?22.566,37;?20.084,07;$32,92;;
;MORTERO DE PEGA;6;sacos;?6.000,00;?36.000,00;$59,02;;
;BLOCK 40X20X15 cm;80;un;?675,00;?54.000,00;$88,52;;
;VARILLA #4;3;un;?5.400,00;?16.200,00;$26,56;;
;VARILLA #3;5;un;?3.175,00;?15.875,00;$26,02;;
;VARILLA #2 GANCHOS @20cm;4;un;?1.450,00;?5.800,00;$9,51;;
COLUMNA TIPO C2;;4;;?68.602,65;;$648,30;;
CONCRETO DE RELLENO;CEMENTO;14;sacos;?6.769,91;?94.778,74;$155,37;;
2 m3 en total;ARENA;1;m3;?22.566,37;?22.115,04;$36,25;;
;PIEDRA;1,8;m3;?22.566,37;?40.168,14;$65,85;;
;MORTERO DE PEGA;11;sacos;?6.000,00;?66.000,00;$108,20;;
;BLOCK 40X20X15 cm;160;un;?675,00;?108.000,00;$177,05;;
;VARILLA #4;4;un;?5.400,00;?21.600,00;$35,41;;
;VARILLA #3;8;un;?3.175,00;?25.400,00;$41,64;;
;VARILLA #2 GANCHOS @20cm;12;un;?1.450,00;?17.400,00;$28,52;;
COLUMNA TIPO C3;;3;;?68.602,65;;$422,53;;
CONCRETO DE RELLENO;CEMENTO;10;sacos;?6.769,91;?67.699,10;$110,98;;
1,44 m3 en total;ARENA;0,7;m3;?22.566,37;?15.922,83;$26,10;;
;PIEDRA;1,3;m3;?22.566,37;?28.921,06;$47,41;;
;MORTERO DE PEGA;8;sacos;?6.000,00;?48.000,00;$78,69;;
;BLOCK 40X20X15 cm;120;un;?675,00;?81.000,00;$132,79;;
;VARILLA #4;3;un;?5.400,00;?16.200,00;$26,56;;
;VARILLA #3;9;un;?3.175,00;?28.575,00;$46,84;;
;VARILLA #2 GANCHOS @20cm;9;un;?1.450,00;?13.050,00;$21,39;;
COLUMNA TIPO C4;;1;;?68.602,65;;$240,84;;
CONCRETO DE RELLENO;CEMENTO;4;sacos;?6.769,91;?27.079,64;$44,39;;
0,6 m3 en total;ARENA;0,3;m3;?22.566,37;?6.634,51;$10,88;;
;PIEDRA;0,5;m3;?22.566,37;?12.050,44;$19,75;;
;MORTERO DE PEGA;5;sacos;?6.000,00;?30.000,00;$49,18;;
;BLOCK 40X20X15 cm;70;un;?675,00;?47.250,00;$77,46;;
;VARILLA #4;1;un;?5.400,00;?5.400,00;$8,85;;
;VARILLA #3;4;un;?3.175,00;?12.700,00;$20,82;;
;VARILLA #2 GANCHOS @20cm;4;un;?1.450,00;?5.800,00;$9,51;;
COLUMNA TIPO C5;;6;;?65.024,77;;$863,95;;
CONCRETO  210KG/CM2;CEMENTO;11;sacos;?6.769,91;?74.469,01;$122,08;;
 1,5 m3 en total;ARENA;0,7;m3;?22.566,37;?16.586,28;$27,19;;
;PIEDRA;1,3;m3;?22.566,37;?30.126,10;$49,39;;
;FORMALETA;24;un;?6.272,12;?150.530,88;$246,77;;
;VARILLA #4;36;un;?5.400,00;?194.400,00;$318,69;;
;VARILLA #2 AROS Y GANCHOS @15cm;42;un;?1.450,00;?60.900,00;$99,84;;
COLUMNA TIPO C6;;2;;?71.274,78;;$836,43;;
CONCRETO  210KG/CM2;CEMENTO;9;sacos;?6.769,91;?60.929,19;$99,88;;
 1,25 m3 en total;ARENA;0,6;m3;?22.566,37;?13.539,82;$22,20;;
;PIEDRA;1,1;m3;?22.566,37;?24.823,01;$40,69;;
;FORMALETA;24;un;?6.272,12;?150.530,88;$246,77;;
;VARILLA #5;16;un;?9.925,01;?158.800,16;$260,33;;
;VARILLA #3 AROS Y GANCHOS @15cm;32;un;?3.175,00;?101.600,00;$166,56;;
VIGA CORONA;;;;;;;;
VIGA TIPO VC1 + VK1;;19;ml;?62.799,77;;$591,84;;
CONCRETO  210KG/CM2;CEMENTO;11;sacos;?6.769,91;?74.469,01;$122,08;;
 1,5 m3 en total;ARENA;0,7;m3;?22.566,37;?15.796,46;$25,90;;
;PIEDRA;1,3;m3;?22.566,37;?29.336,28;$48,09;;
;FORMALETA;10;un;?6.272,12;?62.721,20;$102,82;;
;VARILLA #3 LONG, AROS Y GANCHOS @20cm;54;un;?3.175,00;?171.450,00;$281,07;;
;VARILLA #2 GANCHOS ADICIONALES VK1 @15cm;5;un;?1.450,00;?7.250,00;$11,89;;
VIGA TIPO VC2;;10;ml;?66.749,77;;$360,55;;
CONCRETO  210KG/CM2;CEMENTO;5;sacos;?6.769,91;?33.849,55;$55,49;;
0,7 m3 en total;ARENA;0,3;m3;?22.566,37;?6.769,91;$11,10;;
;PIEDRA;0,6;m3;?22.566,37;?13.539,82;$22,20;;
;FORMALETA;8;un;?6.272,12;?50.176,96;$82,26;;
;VARILLA #4 LONG;12;un;?5.400,00;?64.800,00;$106,23;;
;VARILLA #3 AROS Y GANCHOS @20cm;16;un;?3.175,00;?50.800,00;$83,28;;
VIGA TIPO VC3 + VK1;;19;;?78.124,78;;$453,33;;
CONCRETO  210KG/CM2;CEMENTO;6;sacos;?6.769,91;?40.619,46;$66,59;;
0,9 m3 en total;ARENA;0,4;m3;?22.566,37;?9.026,55;$14,80;;
;PIEDRA;0,8;m3;?22.566,37;?18.053,10;$29,60;;
;FORMALETA;6;un;?6.272,12;?37.632,72;$61,69;;
;VARILLA #5 LONG;8;un;?9.925,01;?79.400,08;$130,16;;
;VARILLA #4 LONG;4;un;?5.400,00;?21.600,00;$35,41;;
;VARILLA #3 LONG, AROS Y GANCHOS @15cm;18;un;?3.175,00;?57.150,00;$93,69;;
;VARILLA #2 GANCHOS ADICIONALES VK1 @15cm;9;un;?1.450,00;?13.050,00;$21,39;;
VIGA TIPO VC-4;;123;m;;;$4.052,46;;
;TUBO 10X20X0,24 CM;24;un;?103.000,00;?2.472.000,00;$4.052,46;;
VIGA TIPO W;;38;m;;;$8.026,23;;
;W12x30 en 12m;6;un;?816.000,00;?4.896.000,00;$8.026,23;;
VIGA TIPO V-1;;19;m;?62.799,77;;$344,62;;
CONCRETO  210KG/CM2;CEMENTO;6;sacos;?6.769,91;?40.619,46;$66,59;;
0,85 m3 en total;ARENA;0,4;m3;?22.566,37;?9.026,55;$14,80;;
;PIEDRA;0,8;m3;?22.566,37;?18.053,10;$29,60;;
;FORMALETA;10;un;?6.272,12;?62.721,20;$102,82;;
;VARILLA #3 LONG;16;un;?3.175,00;?50.800,00;$83,28;;
;VARILLA #2 AROS @15cm;20;un;?1.450,00;?29.000,00;$47,54;;
PAREDES SUBNIVEL;;;;;;;;
PAREDES DE DUROCK;;371;m2;?34.801,67;?12.911.418,33;$21.166,26;;
;MASKING CINTA AZUL;15;und;?3.780,00;?57.007,32;$93,45;;
;LAMINAS DE DUROCK;271;und;?30.400,00;?8.252.487,80;$13.528,67;;
;TORNILLOS PUNTA DE BROCA DE 1 1/4;15081;und;?7,08;?106.775,61;$175,04;;
;TRACK;121;und;?4.700,00;?567.056,91;$929,60;;
;STUDS;151;und;?4.225,00;?637.184,96;$1.044,57;;
;TORNILLOS FRIJOLITO;9049;und;?7,60;?68.770,73;$112,74;;
;GALÓN DE MINIO ROJO;15;galón;?23.600,00;?355.918,70;$583,47;;
;REPELLO;332;sacos;?4.250,00;?1.410.101,63;$2.311,64;;
;CEMENTICIO;54;sacos;?5.425,00;?294.537,80;$482,85;;
;ROLLOS DE 15,87m AISLANTE ACUSTICO PARA PAREDES TIPO LANA DE FIBRA DE VIDRIO, TIPO R11, DE 3.5 PULGADAS DE ESPESOR;21;rollos;?55.015,00;?1.161.576,87;$1.904,22;;
ACABADOS DE PAREDES SUBNIVEL1;;3,6;m;;;;;
TIPO 01;;28,4;ml;;;$226,86;;
;ACABADO EN CONCRETO PULIDO O SIMILAR CON DOS MANOS DE SELLADOR;102,2;m2;;;;;
;ACABADO 450 DE SUR;20;un;?6.919,19;?138.383,80;$226,86;;
TIPO 02;;153;ml;;;$4.514,75;;
;PAREDES CON REPELLO FINO, EMPASTE, LIJADO Y 2 MANOS DE PINTURA PARA INTERIORES;550,8;m2;?5.000,00;?2.754.000,00;$4.514,75;REPELLO 3712,38;
TIPO 03;;11;ml;;;$324,59;;
;PAREDES CON REPELLO FINO, EMPASTE, LIJADO Y 2 MANOS DE PINTURA PARA EXTERIORES;39,6;m2;?5.000,00;?198.000,00;$324,59;;
TIPO 04;;4;ml;;;$826,23;;
;ENCHAPE DE PARED CON ACABADO TIPO MADERA;14,4;m2;?35.000,00;?504.000,00;$826,23;;
TIPO 05;;31;ml;;;$1.524,59;;
;ENCHAPE DE BAÑO ANTIDESLIZANTE CON PORCELANATO HASTA 1,2 m DE ALTURA DE FORMATO Y TIPO A ESCOGER;37,2;m2;?25.000,00;?930.000,00;$1.524,59;;
TIPO 06;;15,5;ml;;;$1.524,59;;
;ENCHAPE DE BAÑO ANTIDESLIZANTE CON PORCELANATO HASTA 2,4 m DE ALTURA DE FORMATO Y TIPO A ESCOGER;37,2;m2;?25.000,00;?930.000,00;$1.524,59;;
TIPO 08;;36,2;ml;;;;;
;ENCHAPE DE PARED DE PIEDRA;130,3;m2;?45.000,00;?5.864.400,00;$9.613,77;;
PAREDES NIVEL 1;;;;;;;;
PAREDES DE DUROCK;;364;m2;?35.630,93;?12.969.660,33;$21.261,74;;
;MASKING CINTA AZUL;15;und;?3.780,00;?55.931,71;$91,69;;
;LAMINAS DE DUROCK;266;und;?30.400,00;?8.096.780,49;$13.273,41;;
;TORNILLOS PUNTA DE BROCA DE 1 1/4;14797;und;?7,08;?104.760,98;$171,74;;
